car_entry_id,year,make,model,trim,miles,offer
555,2019,Honda,Civic,Type R Hatchback,4965,44998
556,2021,Honda,Civic,Sport,43370,22999
557,2019,Honda,Civic,Si Coupe,41893,26589
558,2021,Honda,Civic,LX,33491,23215
559,2020,Honda,Civic,Sport,54299,23454
560,2018,Honda,Civic,EX,21225,23998
561,2019,Honda,Civic,Sport,21181,23998
562,2019,Honda,Civic,Si Coupe,44773,26998
563,2019,Honda,Civic,Si Coupe,44773,26998
564,2023,Honda,Civic,Sport,17375,28858
565,2020,Honda,Civic,Si,101082,22999
566,2016,Honda,Civic,EX-T,169492,13731
567,2022,Honda,Civic,Touring,14156,29990
568,2018,Honda,Civic,EX-T Coupe,34535,21762
569,2019,Honda,Civic,Sport,20521,24998
570,2023,Honda,Civic,Sport,6081,28999
571,2022,Honda,Civic,Touring,45233,27990
572,2021,Honda,Civic,EX,18642,26998
573,2020,Honda,Civic,LX,27003,22990
574,2020,Honda,Civic,LX,22890,23998
575,2022,Honda,Civic,LX,12565,26589
576,2022,Honda,Civic,EX,14022,27590
577,2017,Honda,Civic,Si,31665,23949
578,2018,Honda,Civic,LX,28111,20998
579,2017,Honda,Civic,Si,54787,23991
580,2008,Honda,Civic,LX,144701,7995
581,2018,Honda,Civic,LX-P Coupe,26619,22601
